t_s,phase,ec_max_c,argmax,rpm
0.0,fanctrl_idle,76,cpu@4c,2649
2.0,fanctrl_idle,76,cpu@4c,2642
4.0,fanctrl_idle,75,cpu@4c,2649
6.0,fanctrl_idle,75,cpu@4c,2649
8.0,fanctrl_idle,75,cpu@4c,2649
10.0,fanctrl_idle,75,cpu@4c,2649
12.0,fanctrl_idle,75,cpu@4c,2649
14.0,fanctrl_idle,75,cpu@4c,2649
16.0,fanctrl_idle,75,cpu@4c,2649
18.0,fanctrl_idle,75,cpu@4c,2642
20.0,fanctrl_idle,75,cpu@4c,2649
22.0,fanctrl_idle,75,cpu@4c,2649
24.0,fanctrl_idle,75,cpu@4c,2642
26.0,fanctrl_idle,75,cpu@4c,2649
28.0,fanctrl_idle,75,cpu@4c,2649
30.0,fanctrl_idle,75,cpu@4c,2649
32.0,fanctrl_idle,75,cpu@4c,2649
34.0,fanctrl_idle,75,cpu@4c,2642
36.0,fanctrl_idle,75,cpu@4c,2642
38.0,fanctrl_idle,75,cpu@4c,2649
40.0,fanctrl_idle,75,cpu@4c,2656
42.0,fanctrl_idle,75,cpu@4c,2649
44.0,fanctrl_idle,75,cpu@4c,2649
46.0,fanctrl_idle,75,cpu@4c,2649
48.0,fanctrl_idle,75,cpu@4c,2649
50.0,fanctrl_idle,75,cpu@4c,2642
52.0,fanctrl_idle,75,cpu@4c,2649
54.0,fanctrl_idle,75,cpu@4c,2649
56.0,fanctrl_idle,75,cpu@4c,2649
58.0,fanctrl_idle,75,cpu@4c,2649
60.0,ec_idle,75,cpu@4c,2642
62.0,ec_idle,75,cpu@4c,3587
64.0,ec_idle,74,cpu@4c,4939
66.0,ec_idle,73,cpu@4c,4772
68.0,ec_idle,72,cpu@4c,4748
70.0,ec_idle,72,cpu@4c,4772
72.0,ec_idle,71,apu_f75303@4d,4748
74.0,ec_idle,70,ambient_f75303@4d,4748
76.0,ec_idle,71,ambient_f75303@4d,4748
78.0,ec_idle,71,ambient_f75303@4d,4748
80.0,ec_idle,70,ambient_f75303@4d,4748
82.0,ec_idle,70,ambient_f75303@4d,4748
84.0,ec_idle,70,ambient_f75303@4d,4772
86.0,ec_idle,70,ambient_f75303@4d,4748
88.0,ec_idle,70,ambient_f75303@4d,4748
90.1,ec_idle,70,ambient_f75303@4d,4748
92.1,ec_idle,70,ambient_f75303@4d,4748
94.1,ec_idle,70,ambient_f75303@4d,4748
