t,label,ambient_f75303@4d,charger_f75303@4d,apu_f75303@4d,cpu@4c,gpu_amb_f75303@4d,gpu_vr_f75303@4d,gpu_vram_f75303@4d,gpu_temp@40,argmax_sensor,argmax_c,fan0,fan1,fanctrl_pct,gpu_c,gpu_w,gpu_mhz,gpu_util
0,runB-ec-native,58,55,52,46,52,56,51,45,ambient_f75303@4d,58,2146,3536,,45,5.24,180,0
3,runB-ec-native,57,55,52,47,51,57,51,44,ambient_f75303@4d,57,2132,1590,,45,5.22,180,0
5,runB-ec-native,58,54,52,47,52,56,51,45,ambient_f75303@4d,58,2132,508,,45,5.24,180,0
7,runB-ec-native,58,54,52,47,52,55,49,45,ambient_f75303@4d,58,2141,2014,,45,5.21,180,0
9,runB-ec-native,57,54,52,47,51,55,50,44,ambient_f75303@4d,57,2141,2014,,45,5.20,180,0
12,runB-ec-native,57,55,52,62,50,55,49,44,cpu@4c,62,2137,2010,,46,7.05,180,38
14,runB-ec-native,57,55,52,56,51,56,50,62,gpu_temp@40,62,2132,2014,,59,97.31,2122,100
16,runB-ec-native,57,55,52,50,50,56,50,62,gpu_temp@40,62,2141,2022,,66,99.70,2025,100
18,runB-ec-native,58,55,52,49,51,57,51,63,gpu_temp@40,63,2146,2018,,65,99.84,2070,100
21,runB-ec-native,58,55,52,48,51,58,51,66,gpu_temp@40,66,2137,2014,,67,99.93,2070,100
23,runB-ec-native,57,55,52,48,51,60,53,68,gpu_temp@40,68,2141,2014,,70,99.49,2077,100
25,runB-ec-native,58,55,52,47,52,61,53,69,gpu_temp@40,69,2146,2010,,70,100.01,2070,100
28,runB-ec-native,59,54,53,47,53,62,54,71,gpu_temp@40,71,2313,2209,,72,99.83,2070,100
30,runB-ec-native,59,55,53,47,53,63,54,72,gpu_temp@40,72,2313,2204,,72,99.85,2062,100
32,runB-ec-native,58,55,53,47,54,64,56,73,gpu_temp@40,73,2313,2204,,74,99.88,2055,100
34,runB-ec-native,59,56,53,48,55,64,56,74,gpu_temp@40,74,2628,2546,,75,99.83,2055,100
37,runB-ec-native,60,55,53,47,56,66,57,74,gpu_temp@40,74,2816,2857,,75,99.66,2002,100
39,runB-ec-native,60,55,52,48,57,65,57,75,gpu_temp@40,75,3140,2934,,75,99.64,1995,100
41,runB-ec-native,59,55,53,47,57,66,58,75,gpu_temp@40,75,3298,3212,,75,99.51,2002,100
43,runB-ec-native,59,56,53,47,57,67,60,75,gpu_temp@40,75,3536,3437,,75,99.60,2002,100
46,runB-ec-native,60,56,53,47,59,67,60,75,gpu_temp@40,75,3681,3510,,76,100.11,2002,100
48,runB-ec-native,59,55,53,47,59,68,60,75,gpu_temp@40,75,3737,3561,,75,99.44,1995,100
50,runB-ec-native,60,55,53,47,60,68,62,74,gpu_temp@40,74,3947,3795,,75,99.46,2002,100
52,runB-ec-native,61,56,53,46,61,68,62,74,gpu_temp@40,74,3963,3795,,75,99.58,1995,100
