t,label,ambient_f75303@4d,charger_f75303@4d,apu_f75303@4d,cpu@4c,gpu_amb_f75303@4d,gpu_vr_f75303@4d,gpu_vram_f75303@4d,gpu_temp@40,argmax_sensor,argmax_c,fan0,fan1,fanctrl_pct,gpu_c,gpu_w,gpu_mhz,gpu_util
0,runA-fanctrl-on,61,57,57,53,49,53,49,46,ambient_f75303@4d,61,1478,1467,18,47,5.25,180,0
2,runA-fanctrl-on,61,57,56,54,49,53,49,46,ambient_f75303@4d,61,1478,1467,18,46,5.28,180,0
4,runA-fanctrl-on,61,57,57,54,49,54,48,46,ambient_f75303@4d,61,1480,1469,18,46,5.30,180,0
6,runA-fanctrl-on,61,57,57,53,49,54,48,46,ambient_f75303@4d,61,1476,1467,18,46,5.31,180,0
9,runA-fanctrl-on,61,57,57,53,49,54,49,46,ambient_f75303@4d,61,1480,1469,18,46,5.30,180,0
11,runA-fanctrl-on,60,57,56,54,50,54,49,46,ambient_f75303@4d,60,1480,1467,18,46,5.28,180,0
13,runA-fanctrl-on,60,57,57,61,50,54,49,64,gpu_temp@40,64,1580,1570,19,63,98.63,2295,100
15,runA-fanctrl-on,61,57,57,56,50,54,49,64,gpu_temp@40,64,1585,1567,19,65,98.16,2242,100
18,runA-fanctrl-on,61,57,57,54,50,55,50,65,gpu_temp@40,65,1580,1572,19,66,100.46,2032,100
20,runA-fanctrl-on,60,56,57,54,49,56,51,67,gpu_temp@40,67,1582,1570,19,68,99.70,2085,100
22,runA-fanctrl-on,61,57,57,54,51,58,51,69,gpu_temp@40,69,1582,1572,19,70,99.62,2077,100
24,runA-fanctrl-on,61,57,57,53,51,60,52,71,gpu_temp@40,71,1585,1570,19,72,99.79,2062,100
27,runA-fanctrl-on,62,57,56,53,52,60,54,72,gpu_temp@40,72,1582,1575,19,73,99.71,2062,100
29,runA-fanctrl-on,61,57,56,53,53,62,54,74,gpu_temp@40,74,1577,1575,19,75,99.83,2017,100
31,runA-fanctrl-on,62,57,57,53,53,63,55,75,gpu_temp@40,75,1680,1666,20,76,99.61,2002,100
33,runA-fanctrl-on,62,57,57,53,54,63,56,76,gpu_temp@40,76,1691,1677,20,77,99.71,1995,100
36,runA-fanctrl-on,63,58,56,53,54,64,56,77,gpu_temp@40,77,1691,1677,20,78,99.55,1987,100
38,runA-fanctrl-on,63,58,57,53,56,66,58,78,gpu_temp@40,78,1758,1742,21,79,99.71,1980,100
40,runA-fanctrl-on,63,57,56,53,56,67,59,79,gpu_temp@40,79,1761,1746,21,80,99.69,1972,100
43,runA-fanctrl-on,63,58,57,53,58,67,59,80,gpu_temp@40,80,1858,1847,22,81,99.79,1972,100
45,runA-fanctrl-on,63,58,57,53,59,68,61,81,gpu_temp@40,81,1854,1844,23,82,99.78,1965,100
47,runA-fanctrl-on,64,58,57,53,59,68,62,82,gpu_temp@40,82,1966,1946,24,82,99.77,1972,100
49,runA-fanctrl-on,64,59,57,52,60,70,63,82,gpu_temp@40,82,2052,2031,24,83,99.80,1965,100
52,runA-fanctrl-on,63,59,57,52,61,71,64,83,gpu_temp@40,83,2141,2132,25,83,99.84,1957,100
54,runA-fanctrl-on,63,58,57,52,61,71,64,83,gpu_temp@40,83,2165,2151,26,84,99.77,1950,100
56,runA-fanctrl-on,64,59,58,52,63,71,65,84,gpu_temp@40,84,2234,2214,27,84,99.82,1965,100
58,runA-fanctrl-on,63,59,57,52,63,72,65,84,gpu_temp@40,84,2329,2307,28,84,99.59,1957,100
61,runA-fanctrl-on,64,58,57,52,64,73,67,84,gpu_temp@40,84,2391,2374,28,85,99.59,1957,100
63,runA-fanctrl-on,64,58,57,52,64,73,66,84,gpu_temp@40,84,2457,2445,29,85,99.81,1965,100
65,runA-fanctrl-on,64,59,57,51,65,75,68,85,gpu_temp@40,85,2560,2540,30,85,99.87,1965,100
67,runA-fanctrl-on,64,59,57,51,67,75,68,84,gpu_temp@40,84,2635,2614,31,85,99.77,1950,100
70,runA-fanctrl-on,64,59,57,51,67,76,69,85,gpu_temp@40,85,2642,2628,32,85,99.79,1957,100
72,runA-fanctrl-on,64,59,57,51,68,75,69,84,gpu_temp@40,84,2745,2730,32,85,99.98,1957,100
74,runA-fanctrl-on,65,60,57,51,68,76,70,84,gpu_temp@40,84,2824,2808,33,85,99.82,1957,100
77,runA-fanctrl-on,64,59,57,51,68,76,69,84,gpu_temp@40,84,2824,2808,33,85,99.84,1957,100
79,runA-fanctrl-on,64,60,57,50,69,78,70,84,gpu_temp@40,84,2899,2891,34,85,99.75,1957,100
81,runA-fanctrl-on,64,59,57,50,69,78,70,84,gpu_temp@40,84,2997,2978,35,85,99.90,1972,100
83,runA-fanctrl-on,64,60,57,50,69,78,71,84,gpu_temp@40,84,2997,2987,35,84,99.80,1972,100
86,runA-fanctrl-on,64,59,58,50,70,78,71,84,gpu_temp@40,84,2997,2978,36,84,99.81,1957,100
88,runA-fanctrl-on,65,60,57,50,71,78,71,84,gpu_temp@40,84,3052,3043,36,84,99.83,1957,100
90,runA-fanctrl-on,64,60,57,50,70,78,71,84,gpu_temp@40,84,3052,3043,37,84,99.77,1942,100
92,runA-fanctrl-on,65,59,57,49,71,79,72,83,gpu_temp@40,83,3140,3130,38,84,99.75,1950,100
95,runA-fanctrl-on,65,60,57,49,71,79,72,83,gpu_temp@40,83,3244,3233,38,84,99.80,1957,100
97,runA-fanctrl-on,65,60,57,49,72,79,72,83,gpu_temp@40,83,3298,3287,39,83,99.87,1950,100
99,runA-fanctrl-on,65,60,58,49,72,79,73,83,gpu_temp@40,83,3343,3332,40,83,99.86,1950,100
101,runA-fanctrl-on,65,59,57,49,72,80,72,83,gpu_temp@40,83,3389,3366,40,83,99.78,1957,100
104,runA-fanctrl-on,65,60,57,49,73,80,73,82,gpu_temp@40,82,3150,3120,37,83,99.85,1957,100
106,runA-fanctrl-on,65,60,57,49,72,80,72,82,gpu_temp@40,82,3130,3120,37,82,99.73,1957,100
108,runA-fanctrl-on,65,60,56,49,72,80,72,82,gpu_temp@40,82,3150,3130,37,83,99.74,1957,100
111,runA-fanctrl-on,64,59,57,49,73,81,72,82,gpu_temp@40,82,3140,3120,37,83,99.75,1965,100
113,runA-fanctrl-on,65,60,57,49,73,81,73,82,gpu_temp@40,82,3140,3120,37,83,99.79,1965,100
115,runA-fanctrl-on,65,60,57,49,73,81,73,83,gpu_temp@40,83,3150,3130,40,83,99.74,1957,100
117,runA-fanctrl-on,65,59,57,48,73,82,73,82,gpu_vr_f75303@4d,82,3130,3120,37,83,99.81,1965,100
120,runA-fanctrl-on,65,60,57,48,73,82,73,82,gpu_vr_f75303@4d,82,3150,3140,37,83,99.80,1987,100
122,runA-fanctrl-on,65,60,57,48,73,81,73,82,gpu_temp@40,82,3140,3120,37,83,99.89,1980,100
